pathway,beta_FXS,beta_Drug_BAY,beta_Drug_BPN,beta_Drug_BP,beta_FXS_Drug_BAY,beta_FXS_Drug_BPN,beta_FXS_Drug_BP,p_FXS,p_Drug_BAY,p_Drug_BPN,p_Drug_BP,p_FXS_Drug_BAY,p_FXS_Drug_BPN,p_FXS_Drug_BP,combined_p_BAY,combined_p_BPN,combined_p_BP,padj_FXS,Biodomain
GOBP_AUTOPHAGY_OF_MITOCHONDRION,-0.391161669291016,-0.16205947553115,0.0905903140001223,-0.428215859571302,0.413942802794808,-0.118418830851419,0.250253221783122,2.12308564271891e-05,0.0617078875597593,0.291748301646693,4.30621520176514e-06,0.0010456504356367,0.329497639031193,0.0418638489342815,0.102173029779933,8.79783454054422e-07,2.4126545541135796e-11,0.0023051894834139755,Autophagy
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,-0.461829505533787,-0.323939281842107,0.057691643101283,-0.419712219490484,0.684457816774862,-0.0601522649959733,0.191411455686122,0.0007374658545541,0.0154890042609775,0.659279827972032,0.0019991870073579,0.0004272836342433,0.745045202520845,0.302603190576717,0.436632311099435,0.0003639347967626,1.1643599213222e-07,0.01936905331711666,Proteostasis
GOBP_RECOMBINATIONAL_REPAIR,0.417558713828084,0.0067872516781746,0.0735165868783322,-0.0857320547234395,0.0440930917074588,-0.367554723221757,-0.184391882195442,0.0016996749890451,0.934887459118176,0.377751261305839,0.304228657004428,0.707600371014608,0.0026097443578057,0.120279487214236,9.82858006594862e-06,0.243723646506594,0.164097776048704,0.03231223282422923,DNA Repair
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,1.09795631956882,0.141802557493954,0.0120915368064392,0.0896993624122611,-0.217325144089451,-0.345893724981572,-0.0837396860654263,0.0015572326314479,0.116789084766337,0.892517632730472,0.318157521343367,0.0897590499662936,0.0079767978165936,0.508916574412156,1.17198061842146e-07,7.51009605656856e-05,1.0651223150399e-08,0.030950206915228876,Cell Cycle
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA,0.479626660281892,-0.0971425187512937,0.0005295349015632,-0.0994956523059689,0.119323526586875,-0.240099002332955,-0.103138555944465,0.0002003540044782,0.354976625192775,0.995962464906544,0.343526811588367,0.421333522355267,0.108515163028658,0.486731548409427,6.89379006066029e-06,0.031454988400351,0.0130550672791863,0.009767645505735703,unknown
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE,-0.614390803137528,0.128626143060674,-0.0366896287107342,-0.0201382659432295,-0.211650946605838,-0.027606187846559,0.0696692987491214,0.002068263349154,0.0954676350044282,0.630729572638377,0.791759635019124,0.0533522715078508,0.798003491623394,0.518965145770489,8.89728004797378e-08,1.94730859313724e-07,1.48128945413081e-05,0.03618430164998327,unknown
GOBP_FATTY_ACID_ALPHA_OXIDATION,-0.583496470643851,-0.172849620471334,0.110378515485895,-0.119960320732227,0.272044685491488,-0.014668125325761,0.0408449118574776,0.0003002136866034,0.0762434406947177,0.253877115284474,0.215414254949306,0.0491812559762501,0.914156186344204,0.764119940999048,6.32689890229205e-05,5.60008608214925e-05,4.4223278553765e-08,0.011886656192883493,Lipid Metabolism
GOBP_NATURAL_KILLER_CELL_PROLIFERATION,-0.388913964498113,-0.0481014568385424,-0.04430001309702,-0.0816066378299464,0.114730478770763,0.0452040038421633,0.0471171211388474,0.0003972545807558,0.619525204787929,0.647415897567125,0.400487809540521,0.403247873558371,0.741296493855037,0.730774576676126,0.0011342857178024,8.90286652853678e-05,1.90149988587113e-05,0.013902869329068517,Immune Response
GOBP_RECEPTOR_RECYCLING,-0.284378667596182,-0.0519598832889257,0.0691052253293132,-0.273695097888896,0.210587704829831,-0.0401601762034428,0.177107814857532,0.0001220501725497,0.457396978433518,0.323781622128025,0.0002052855188746,0.0359465363914834,0.684180223570652,0.0762482233764256,0.0703767151040466,0.0002373516767552,4.20856041245488e-08,0.007101836559632267,Endolysosome
GOBP_CELL_KILLING,-0.237784814939837,-0.0547264121707395,-0.0064054118142066,-0.0638426495576836,0.0771604318623827,0.0748235822042911,0.0882259183678319,0.000529296491923,0.171301421783588,0.871803225833848,0.111503776748833,0.172581780346418,0.185750011724142,0.119738101020891,2.74413686285851e-05,0.0009729599991268,3.2420381131793e-05,0.016297326098043557,unknown
GOBP_BLOOD_VESSEL_MATURATION,-0.638735448824047,-0.10784921101559,0.063483641459163,0.0622221497297257,0.0628464309848527,-0.134712101275634,-0.184620841811884,0.0002615684670359,0.165580899535421,0.411947746061347,0.421249021596538,0.565180436051805,0.219899037521117,0.0944911182767404,1.1268121238299801e-09,2.54996329353664e-10,1.2040771217840798e-11,0.011198532905780892,Vasculature
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE,-0.808210448166114,-0.134171726056978,0.131122345145658,-0.183284809425354,0.0873359455419364,-0.193066471041631,0.188044030346529,5.1165399731074205e-09,0.134195289042822,0.143103011265731,0.0423746932847494,0.487360460239608,0.127643644319875,0.137659913420821,2.4557544732647997e-19,5.71441448360826e-20,2.95774766467922e-17,6.26055070204422e-06,Synapse
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION,0.336976495725579,0.0362793630558583,-0.0081061957623763,0.206871396629901,-0.133467013664179,-0.187577697283647,-0.210296874024039,0.0002394787883411,0.614462471931942,0.910297863448892,0.0053949328127049,0.192776458869244,0.0690585592572604,0.0422388487809243,0.0021989668223323,0.0711970032265236,2.05123564518882e-05,0.01077859230260028,unknown
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,-0.269807452378306,-0.161336784429883,-0.055920999464697,-0.167531425391526,0.21231951491796,0.0986295644728232,0.107489471841978,0.0017601660644011,0.0006531163510968,0.217384854767669,0.0004205450543604,0.0014152206301821,0.125275410024539,0.0953809842370924,0.000590578713606,0.0003627167285982,2.22871565655529e-07,0.032985887883046947,Immune Response
GOBP_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,-0.354053214085027,0.0601603737085688,-0.106594414240658,0.135211904793901,-0.0804387345113349,0.410658112203216,0.189189603197408,0.0021148757481774,0.561751823382153,0.305357267136567,0.194717796942988,0.583230015400102,0.006564453409176,0.199429500564368,0.0004272024148346,0.638047065996913,0.780213983022034,0.036816316330255165,Immune Response
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,-0.347201020694092,0.0565834665001668,0.0671200711862671,0.014294124741049,-0.0108566556443145,0.0073290935600864,-0.0345146975315971,0.0028092318794686,0.201912579197467,0.131144289389926,0.745600490744713,0.861628170560831,0.906324669900332,0.579930214396682,8.89981450482633e-05,0.0003919783844599,1.78805423437239e-06,0.04220660507070371,Immune Response
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,-0.290059856615175,0.0088474637514076,-0.0018883101939559,0.016648280438431,0.0063501167844902,0.0481645071769732,-0.0230206831082486,6.27622441888183e-05,0.861130961688907,0.970213270387843,0.742104708675457,0.929248614409526,0.501453793870685,0.747637119934861,1.71083640826991e-06,2.19706665410521e-05,2.46444098352983e-07,0.004688028055295279,Immune Response
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_SOMATIC_MUTATION,0.759371140497533,-0.108884181273195,0.0424599823103352,-0.131755623606834,0.0473667195353115,-0.349495257144176,-0.153887900050234,0.0025635488930242,0.31693628153502,0.695316389941854,0.226797449231138,0.757308341073767,0.0255205361972901,0.317240506519616,6.16408179202346e-05,0.0094069223133827,0.006533874840634,0.04046482434373077,Immune Response
GOBP_POSITIVE_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION,-0.36867117258603,-0.0859522042378856,-0.118768378552436,-0.0431475738760025,0.0746795136057124,0.182124186856469,-0.0524438270892071,0.0026366162523153,0.450167344549748,0.297786740215341,0.704128513407535,0.642201177217527,0.25928842728006,0.744097232684495,0.0008962325221252,0.0076106755066101,4.94344224476949e-05,0.04076552617824806,Immune Response
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,-0.454786520941082,-0.0204763589397335,-0.0782181632727781,-0.0020559644143464,-0.010712297255756,0.16493482879402,0.0738185412704537,0.0016114481019141,0.665928123312282,0.102657216639698,0.965395829567933,0.873022178952667,0.0163199528121615,0.273122627681306,3.04500383629293e-08,2.72846310134287e-05,1.26856686651078e-05,0.031588398249377356,Immune Response
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,-0.257387052496743,0.0098373950735661,-0.0271104709553372,-0.0619215816865907,-0.0693138413115154,0.0579637510023387,0.075725136412538,0.0010600677020143,0.825618427758525,0.544268892329567,0.16878718112145,0.274639375213329,0.360230908006984,0.233127422703564,9.30651316045378e-08,0.0001347908099228,4.04563744373812e-05,0.02453765502772441,Immune Response
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,-0.260702953498748,-0.120338637897278,-0.118492092865103,-0.0851512074662037,0.130872514025962,0.160078747371182,0.0360037986324787,0.000751284362999,0.0467919088421617,0.050155037112125,0.156065983889234,0.123755565576613,0.0609816508581466,0.669117693789963,0.0001661169274191,0.0009729647444866,3.10126353635629e-06,0.019567671859296108,Immune Response
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,-0.472137266372237,-0.0948472016882884,0.0040040663467057,-0.0891700235402414,0.270706879187305,0.108541640436188,0.114384865232085,0.0001544179294356,0.118234919204746,0.946875695421311,0.141441571530907,0.0022056619157179,0.204584868145372,0.181581000893706,0.0003311900210761,1.32046009345005e-05,6.13718910090936e-08,0.00817251071766703,Immune Response
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,-0.402853208501234,0.0999981387039026,0.0576110999976638,0.200861526959435,-0.129392123129076,0.215783790196954,-0.0214231767772943,0.0016864220865437,0.260274866073154,0.515130751790864,0.0260008029675655,0.302590972694922,0.0880364978221194,0.863889203935983,4.92350543872242e-05,0.224083336909143,0.0358974995625502,0.03229344984632409,Immune Response
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,-0.412754453976442,-0.0915945070569302,0.0561111273194016,-0.167162419422026,0.231474575414366,-0.0318265419297062,0.12243885923923,0.0006943392468355,0.109091384188502,0.323066949055212,0.0042971551601442,0.0051145166603306,0.690853229167887,0.129458295318121,0.0009689625753394,2.63909079907808e-06,3.17554880534923e-08,0.018702764572049838,unknown
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,0.419458108749913,-0.0666294044010526,0.17074836870946,-0.0181388170122111,0.0151193956103116,-0.160771630452493,-0.0384462611589416,0.0016808811191581,0.468270056044853,0.0662836275811656,0.843158658601776,0.907154674839405,0.217822313585084,0.76686743418293,0.000885695436962,0.0001044238858804,0.0010429774572854,0.03229344984632409,Immune Response
GOBP_REGULATION_OF_HYPERSENSITIVITY,0.52055885354418,0.0582867944656424,0.167042976743306,0.15193566822925,-0.197239374655639,-0.109466253585949,-0.278285205451989,0.0002412945649691,0.610195899232863,0.147135283963765,0.186633685587843,0.224887859037453,0.498761498363769,0.0887452993834997,0.0018415696392823,2.37325022664968e-06,0.0012930138219679,0.01081410365214707,unknown
GOBP_SKELETAL_MUSCLE_CONTRACTION,-0.490104451806218,-0.0282645397636199,-0.0489869283821453,-0.0466696299702064,-0.0607043631431326,0.114660933645883,0.0481445354211959,0.0024427939888399,0.642234781027507,0.421552296433621,0.44373451967437,0.480993105882311,0.185483872300194,0.575934531312872,4.62406404106182e-08,6.18342318237188e-05,3.99582894323718e-06,0.03951997894080158,Vasculature
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION_BY_CHEMICAL_SIGNAL,-0.71594948326081,0.0068672198447847,0.126646624635984,0.17150121144304,0.0243757009194247,0.12088641062114,0.0529640006613217,0.0017725916738718,0.952890957096365,0.278296964651548,0.143690747135726,0.882132126246477,0.463126954728568,0.747417254249103,4.17567571612127e-05,0.005060176986293,0.003269178466355,0.03310094948442872,Vasculature
