"pathway","rescue","side_effect","beta_FXS","beta_Drug_BAY","beta_Drug_BPN","beta_Drug_BP","beta_FXS_Drug_BAY","beta_FXS_Drug_BPN","beta_FXS_Drug_BP","p_FXS","p_Drug_BAY","p_Drug_BPN","p_Drug_BP","p_FXS_Drug_BAY","p_FXS_Drug_BPN","p_FXS_Drug_BP","combined_p_BAY","combined_p_BPN","combined_p_BP"
"GOBP_POSITIVE_REGULATION_OF_SPINDLE_ASSEMBLY","Full Rescue","No Side Effect",0.604430591810691,0.00574816672083703,0.00246363625735263,-0.0593531578924216,-0.197509226043265,-0.626819837779738,-0.567592975415109,0.0466529554688637,0.959334584072505,0.982564680937615,0.598970111139189,0.218327056206232,0.000209502022468342,0.000698994768559882,0.084353427360918,0.933583011704109,0.92497414998063
"GOBP_REGULATION_OF_METAPHASE_PLATE_CONGRESSION","Full Rescue","No Side Effect",0.852128132053424,-0.00113950870183803,0.110373097957363,-0.0527760153829587,-0.020970677016492,-0.629459819281166,-0.405629965067565,0.00312075321865187,0.992146710590286,0.342229005515191,0.648771306921183,0.898088620745594,0.000279350636552838,0.0156471441899389,2.30222863864888e-05,0.0893908130142822,0.0446314384901773
"GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS","Full Rescue","No Side Effect",0.298336596402824,0.090360059178593,0.0613093333282029,-0.0184985855663739,-0.12102542549917,-0.243491508645179,-0.107053199386381,0.000394038101708628,0.0486426794849744,0.177161036435324,0.681780320657877,0.0614223215319209,0.000303791403697083,0.0969708336341685,8.86334526946795e-06,0.0538428510412322,0.00412903700773011
"GOCC_CONDENSED_NUCLEAR_CHROMOSOME","Partial Rescue","No Side Effect",0.37513829576163,0.116549425594213,0.0980755947476049,0.0042247210467418,-0.13001280202732,-0.281999642669802,-0.119055176711236,0.00204540782929952,0.0297313031684071,0.065834401816178,0.935937409854661,0.084120842748757,0.000329923946664648,0.113002086184235,1.46835203004049e-05,0.0219622354937426,0.0018155189606516
"GOCC_CILIARY_TRANSITION_FIBER","Full Rescue","No Side Effect",0.609197434850362,0.209849079468057,0.192156182321619,0.20855155867578,-0.260055069312791,-0.596810089566633,-0.457674024493902,0.0138432014632213,0.0660178742704425,0.0915818661658897,0.0676622886266109,0.106070928504535,0.000380689326524218,0.00538988388825019,0.0031363080792128,0.27972692852115,0.0570593189919368
"GOBP_POSITIVE_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE","Full Rescue","No Side Effect",0.718417967589947,0.187939807672845,0.239396840160194,-0.0434836240591872,-0.103266889342845,-0.636060368024218,-0.346974560276151,0.00944395311078538,0.122754638092166,0.0507065631434385,0.718489688484896,0.545351244135133,0.000405307233817226,0.0453977073179386,8.80708335098795e-05,0.116170675904984,0.109299246505033
"GOBP_KINETOCHORE_ASSEMBLY","Partial Rescue","No Side Effect",0.765172894092425,0.307042637348405,0.172972217000794,-0.0224678101033136,-0.198687679294309,-0.569952765526241,-0.269447952988896,0.00105057669774919,0.00720842566137005,0.122303332134165,0.839369848895402,0.207924350686604,0.000548369640147509,0.0894253003365509,7.66942193953981e-08,0.0234848241732395,0.00359228116059018
"GOCC_NUCLEAR_CHROMOSOME","Full Rescue","No Side Effect",0.461934024883821,0.0712777361846994,0.121951323100531,-0.077067948574642,-0.00119244715908811,-0.402565968880504,-0.148722540081845,0.00172719445770439,0.364922401575995,0.123548408846881,0.327550902909723,0.991418966829359,0.000558496244790304,0.183058171321298,1.21719332449967e-06,0.0981466029687445,0.031241347958105
"GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE","Full Rescue","No Side Effect",0.569461155414011,0.169138254779022,0.146358923466407,-0.126213493234507,-0.189744053348656,-0.562226111721658,-0.289630117315326,0.0444751533652696,0.12970670626903,0.18873344633202,0.256158057611919,0.227719648720693,0.000623696563768799,0.0677477977441062,0.0143705625120667,0.493330901316793,0.493264548647529
"GOCC_CONDENSED_CHROMOSOME","Full Rescue","No Side Effect",0.454841120716484,0.0702011327649513,0.140648293200177,-0.0845214986540186,-0.0145982817317453,-0.411312953289152,-0.178714951097609,0.00312580664108129,0.389620240396461,0.087658902104032,0.300965659614488,0.899030009505196,0.000666267401850114,0.124028104035427,1.15829722927378e-05,0.113584560593455,0.0997428440984711
"GOCC_KINESIN_COMPLEX","Full Rescue","No Side Effect",0.462381823174054,0.0993166764100604,0.156007254186969,-0.050658309026487,-0.222432572678124,-0.441070976902891,-0.117324039680313,0.000225847294041726,0.260028675095586,0.079132751105798,0.564096486432803,0.076771316056844,0.000708474245246772,0.34601761977737,0.000810416301102462,0.080036656101122,0.00365738128011564
"GOCC_PERICENTRIC_HETEROCHROMATIN","Full Rescue","No Side Effect",0.448143207971667,0.137151333359104,0.183879691258959,0.00921015077841654,-0.0783299423676579,-0.4951862842976,-0.230317548314131,0.0242170723196675,0.168732103053341,0.066686237470676,0.925777869557026,0.575809750861845,0.000740702080014636,0.103306797467433,0.00155919693914153,0.393186052487301,0.15657293167792
"GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION","Full Rescue","No Side Effect",0.424253128029333,-0.0933296809788307,0.191563388102826,-0.196955188291505,0.139058282792128,-0.553907119758403,-0.11823832634671,0.0339692735931188,0.402636045905001,0.0887579665595543,0.080343248345383,0.378063377159694,0.000786778990327746,0.453151861055481,0.0052863449976881,0.713325579902935,0.51750227208703
"GOBP_RESPONSE_TO_CISPLATIN","Full Rescue","No Side Effect",0.495635797627431,0.229847942833996,-0.0448713309799824,0.0220832223338617,-0.459620103164479,-0.486102993271952,-0.308146955767654,0.046180791597769,0.0220042928918251,0.647859498339488,0.822033278114837,0.00151256487701694,0.000839843850300184,0.0295633213633588,0.178570335870427,0.85809501651013,0.288982749337714
