ONTOLOGY,ID,pathway,Biodomain
CC,GO:0098798,mitochondrial protein complex,Mitochondrial Metabolism
CC,GO:0005743,mitochondrial inner membrane,Mitochondrial Metabolism
CC,GO:0019866,organelle inner membrane,none
BP,GO:0006091,generation of precursor metabolites and energy,Mitochondrial Metabolism
BP,GO:0046034,ATP metabolic process,none
CC,GO:0098800,inner mitochondrial membrane protein complex,Mitochondrial Metabolism
CC,GO:1990204,oxidoreductase complex,Oxidative Stress
BP,GO:0070125,mitochondrial translational elongation,Mitochondrial Metabolism
BP,GO:0070125,mitochondrial translational elongation,Proteostasis
BP,GO:0022900,electron transport chain,Mitochondrial Metabolism
BP,GO:0045333,cellular respiration,Mitochondrial Metabolism
BP,GO:0070126,mitochondrial translational termination,Mitochondrial Metabolism
BP,GO:0070126,mitochondrial translational termination,Proteostasis
BP,GO:0032543,mitochondrial translation,Mitochondrial Metabolism
BP,GO:0006415,translational termination,Proteostasis
BP,GO:0032543,mitochondrial translation,Proteostasis
BP,GO:0006414,translational elongation,Proteostasis
CC,GO:0098984,neuron to neuron synapse,Synapse
CC,GO:0070469,respirasome,Mitochondrial Metabolism
BP,GO:0006119,oxidative phosphorylation,Mitochondrial Metabolism
BP,GO:0140053,mitochondrial gene expression,Mitochondrial Metabolism
CC,GO:0005746,mitochondrial respirasome,Mitochondrial Metabolism
CC,GO:0005759,mitochondrial matrix,Mitochondrial Metabolism
CC,GO:0032279,asymmetric synapse,Synapse
CC,GO:0014069,postsynaptic density,Synapse
BP,GO:0042773,ATP synthesis coupled electron transport,Mitochondrial Metabolism
BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,Mitochondrial Metabolism
CC,GO:0099572,postsynaptic specialization,Synapse
BP,GO:0022904,respiratory electron transport chain,Mitochondrial Metabolism
CC,GO:0098803,respiratory chain complex,Mitochondrial Metabolism
CC,GO:0005761,mitochondrial ribosome,Mitochondrial Metabolism
CC,GO:0000313,organellar ribosome,none
CC,GO:0005761,mitochondrial ribosome,Proteostasis
CC,GO:0098978,glutamatergic synapse,Synapse
BP,GO:0043624,cellular protein complex disassembly,none
CC,GO:0031252,cell leading edge,none
BP,GO:0061564,axon development,Synapse
BP,GO:0015980,energy derivation by oxidation of organic compounds,Mitochondrial Metabolism
BP,GO:0010975,regulation of neuron projection development,Synapse
BP,GO:0033108,mitochondrial respiratory chain complex assembly,Mitochondrial Metabolism
CC,GO:0044391,ribosomal subunit,Proteostasis
BP,GO:0050808,synapse organization,Synapse
MF,GO:0003735,structural constituent of ribosome,Proteostasis
MF,GO:0003735,structural constituent of ribosome,Structural Stabilization
BP,GO:0042060,wound healing,none
CC,GO:0005840,ribosome,Proteostasis
BP,GO:0007409,axonogenesis,Synapse
BP,GO:0022604,regulation of cell morphogenesis,none
BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",Mitochondrial Metabolism
BP,GO:0043087,regulation of GTPase activity,none
BP,GO:0001525,angiogenesis,Vasculature
BP,GO:0010257,NADH dehydrogenase complex assembly,Mitochondrial Metabolism
BP,GO:0032981,mitochondrial respiratory chain complex I assembly,Mitochondrial Metabolism
BP,GO:0007264,small GTPase mediated signal transduction,none
BP,GO:0099177,regulation of trans-synaptic signaling,Synapse
BP,GO:0050804,modulation of chemical synaptic transmission,Synapse
BP,GO:0050803,regulation of synapse structure or activity,Synapse
BP,GO:0050900,leukocyte migration,Immune Response
CC,GO:0005925,focal adhesion,Structural Stabilization
MF,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",none
MF,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",none
CC,GO:0044309,neuron spine,Synapse
CC,GO:0098793,presynapse,Synapse
CC,GO:0030055,cell-substrate junction,Structural Stabilization
CC,GO:0043197,dendritic spine,Synapse
BP,GO:0043547,positive regulation of GTPase activity,none
MF,GO:0031267,small GTPase binding,none
CC,GO:0005747,mitochondrial respiratory chain complex I,Mitochondrial Metabolism
CC,GO:0030964,NADH dehydrogenase complex,Mitochondrial Metabolism
CC,GO:0045271,respiratory chain complex I,Mitochondrial Metabolism
BP,GO:0043299,leukocyte degranulation,Immune Response
BP,GO:0006839,mitochondrial transport,Mitochondrial Metabolism
MF,GO:0008047,enzyme activator activity,none
BP,GO:0099173,postsynapse organization,Synapse
BP,GO:1990778,protein localization to cell periphery,none
MF,GO:0045296,cadherin binding,Structural Stabilization
BP,GO:0002444,myeloid leukocyte mediated immunity,none
BP,GO:0050807,regulation of synapse organization,Synapse
BP,GO:0006898,receptor-mediated endocytosis,Endolysosome
MF,GO:0003954,NADH dehydrogenase activity,Mitochondrial Metabolism
MF,GO:0008137,NADH dehydrogenase (ubiquinone) activity,Mitochondrial Metabolism
MF,GO:0050136,NADH dehydrogenase (quinone) activity,Mitochondrial Metabolism
BP,GO:0032984,protein-containing complex disassembly,none
BP,GO:0032970,regulation of actin filament-based process,none
CC,GO:0005911,cell-cell junction,Structural Stabilization
BP,GO:0051056,regulation of small GTPase mediated signal transduction,none
BP,GO:0034762,regulation of transmembrane transport,none
BP,GO:0051962,positive regulation of nervous system development,none
BP,GO:0030335,positive regulation of cell migration,none
CC,GO:0097060,synaptic membrane,Synapse
CC,GO:0015934,large ribosomal subunit,Proteostasis
BP,GO:0002253,activation of immune response,Immune Response
CC,GO:0001726,ruffle,none
BP,GO:0002275,myeloid cell activation involved in immune response,Immune Response
BP,GO:0007265,Ras protein signal transduction,none
BP,GO:0043312,neutrophil degranulation,Immune Response
BP,GO:0090066,regulation of anatomical structure size,none
BP,GO:0010769,regulation of cell morphogenesis involved in differentiation,none
BP,GO:0002764,immune response-regulating signaling pathway,Immune Response
CC,GO:0031256,leading edge membrane,none
MF,GO:0017016,Ras GTPase binding,none
CC,GO:0005762,mitochondrial large ribosomal subunit,Mitochondrial Metabolism
BP,GO:1902532,negative regulation of intracellular signal transduction,none
CC,GO:0000315,organellar large ribosomal subunit,none
CC,GO:0005762,mitochondrial large ribosomal subunit,Proteostasis
BP,GO:0034765,regulation of ion transmembrane transport,none
BP,GO:2000147,positive regulation of cell motility,none
BP,GO:0002283,neutrophil activation involved in immune response,Immune Response
MF,GO:0003779,actin binding,none
BP,GO:0070997,neuron death,Apoptosis
BP,GO:0032956,regulation of actin cytoskeleton organization,Structural Stabilization
BP,GO:0016055,Wnt signaling pathway,none
BP,GO:0001558,regulation of cell growth,none
BP,GO:1904062,regulation of cation transmembrane transport,none
BP,GO:0019058,viral life cycle,none
BP,GO:0032409,regulation of transporter activity,none
BP,GO:0002446,neutrophil mediated immunity,Immune Response
BP,GO:0050769,positive regulation of neurogenesis,none
BP,GO:0007163,establishment or maintenance of cell polarity,none
BP,GO:0032412,regulation of ion transmembrane transporter activity,none
CC,GO:0098589,membrane region,none
BP,GO:1901214,regulation of neuron death,Apoptosis
BP,GO:0034329,cell junction assembly,Structural Stabilization
MF,GO:0048156,tau protein binding,Tau Homeostasis
BP,GO:0022898,regulation of transmembrane transporter activity,none
BP,GO:0040017,positive regulation of locomotion,none
BP,GO:0070482,response to oxygen levels,none
BP,GO:0007007,inner mitochondrial membrane organization,Mitochondrial Metabolism
CC,GO:0030175,filopodium,none
BP,GO:0051272,positive regulation of cellular component movement,none
BP,GO:0042119,neutrophil activation,Immune Response
BP,GO:0031589,cell-substrate adhesion,Structural Stabilization
BP,GO:0016358,dendrite development,Synapse
BP,GO:0010959,regulation of metal ion transport,Metal Binding and Homeostasis
BP,GO:0036230,granulocyte activation,none
BP,GO:1905475,regulation of protein localization to membrane,none
BP,GO:0198738,cell-cell signaling by wnt,none
BP,GO:0042391,regulation of membrane potential,none
BP,GO:0002768,immune response-regulating cell surface receptor signaling pathway,Immune Response
BP,GO:0001666,response to hypoxia,none
BP,GO:1903829,positive regulation of cellular protein localization,none
BP,GO:0016049,cell growth,none
CC,GO:0098552,side of membrane,none
CC,GO:0150034,distal axon,Synapse
BP,GO:0036293,response to decreased oxygen levels,none
CC,GO:0045121,membrane raft,Lipid Metabolism
BP,GO:0072659,protein localization to plasma membrane,none
CC,GO:0005741,mitochondrial outer membrane,Mitochondrial Metabolism
CC,GO:0015629,actin cytoskeleton,Structural Stabilization
BP,GO:0097061,dendritic spine organization,Synapse
BP,GO:0007006,mitochondrial membrane organization,Mitochondrial Metabolism
BP,GO:0031346,positive regulation of cell projection organization,none
BP,GO:0009060,aerobic respiration,none
CC,GO:0031594,neuromuscular junction,Synapse
BP,GO:0050773,regulation of dendrite development,Synapse
BP,GO:0007599,hemostasis,none
BP,GO:1902903,regulation of supramolecular fiber organization,none
BP,GO:0032103,positive regulation of response to external stimulus,none
MF,GO:0060589,nucleoside-triphosphatase regulator activity,none
BP,GO:0106027,neuron projection organization,Synapse
BP,GO:0034341,response to interferon-gamma,Immune Response
MF,GO:0009055,electron transfer activity,Mitochondrial Metabolism
MF,GO:0030695,GTPase regulator activity,none
CC,GO:0062023,collagen-containing extracellular matrix,Structural Stabilization
CC,GO:0043235,receptor complex,Synapse
BP,GO:0042063,gliogenesis,none
BP,GO:0099601,regulation of neurotransmitter receptor activity,Synapse
CC,GO:0120111,neuron projection cytoplasm,Synapse
BP,GO:0032535,regulation of cellular component size,none
CC,GO:0019867,outer membrane,Mitochondrial Metabolism
CC,GO:0031983,vesicle lumen,none
BP,GO:0052548,regulation of endopeptidase activity,none
CC,GO:0098857,membrane microdomain,none
BP,GO:0007596,blood coagulation,Vasculature
BP,GO:0046578,regulation of Ras protein signal transduction,none
BP,GO:0045926,negative regulation of growth,none
BP,GO:0010035,response to inorganic substance,none
BP,GO:0010950,positive regulation of endopeptidase activity,none
BP,GO:0050878,regulation of body fluid levels,none
CC,GO:0031253,cell projection membrane,none
CC,GO:0030667,secretory granule membrane,none
BP,GO:1902904,negative regulation of supramolecular fiber organization,none
BP,GO:0038093,Fc receptor signaling pathway,Immune Response
BP,GO:0048732,gland development,none
BP,GO:0038095,Fc-epsilon receptor signaling pathway,Immune Response
BP,GO:0006066,alcohol metabolic process,none
BP,GO:0050817,coagulation,none
BP,GO:0031623,receptor internalization,Endolysosome
BP,GO:0051051,negative regulation of transport,none
BP,GO:0034599,cellular response to oxidative stress,Oxidative Stress
BP,GO:0030168,platelet activation,none
CC,GO:0043025,neuronal cell body,none
BP,GO:0007015,actin filament organization,Structural Stabilization
BP,GO:0015672,monovalent inorganic cation transport,none
BP,GO:0019884,antigen processing and presentation of exogenous antigen,Immune Response
BP,GO:0003013,circulatory system process,none
BP,GO:0050852,T cell receptor signaling pathway,Immune Response
CC,GO:0031012,extracellular matrix,Structural Stabilization
BP,GO:0097485,neuron projection guidance,Synapse
BP,GO:0050851,antigen receptor-mediated signaling pathway,Immune Response
BP,GO:0018209,peptidyl-serine modification,none
CC,GO:0030133,transport vesicle,Proteostasis
CC,GO:0031968,organelle outer membrane,none
CC,GO:0098573,intrinsic component of mitochondrial membrane,Mitochondrial Metabolism
BP,GO:0002429,immune response-activating cell surface receptor signaling pathway,Immune Response
BP,GO:0002757,immune response-activating signal transduction,Immune Response
CC,GO:0060205,cytoplasmic vesicle lumen,none
BP,GO:0007507,heart development,none
BP,GO:0061572,actin filament bundle organization,Structural Stabilization
BP,GO:0051656,establishment of organelle localization,none
BP,GO:0010952,positive regulation of peptidase activity,none
BP,GO:0007411,axon guidance,Synapse
CC,GO:0098799,outer mitochondrial membrane protein complex,Mitochondrial Metabolism
MF,GO:0005096,GTPase activator activity,none
BP,GO:0008015,blood circulation,Vasculature
CC,GO:0010008,endosome membrane,Endolysosome
